latitude,longitude,city,state
33.494171,-111.926048,Scottsdale,AZ
32.222607,-110.974709,Tucson,AZ
34.07362,-118.400352,Beverly Hills,CA
34.052235,-118.243683,Los Angeles,CA
32.715736,-117.161087,Sand Diego,CA
37.441883,-122.143021,Palo Alto,CA
37.441883,-122.143021,San Francisco,CA
33.66386,-117.90477,Costa Mesa,CA
37.338207,-121.88633,San Jose,CA
37.910076,-122.065186,Walnut Creek,CA
33.728882,-116.38253,Palm Desert,CA
38.43384,-121.42477,Carmel Plaza,CA
34.149551,-118.141449,Pasadena,CA
34.201019,-118.605927,Canoga Park,CA
34.142509,-118.255074,Glendale,CA
38.581573,-121.4944,Sacramento,CA
34.010929,-118.491508,Santa Monica,CA
39.739235,-104.99025,Denver,CO
41.026531,-73.628548,Greenwich,CT
41.141472,-73.357903,Westport,CT
41.72545,-72.83206,Farmington,CT
38.907192,-77.036873,Washington,DC
25.89365,-80.12644,Bal Harbour ,FL
26.350519,-80.089828,Boca Raton,FL
26.70433,-80.036438,Palm Beach,FL
27.950575,-82.457176,Tampa,FL
28.538336,-81.379234,Orlando,FL
25.721491,-80.268387,Coral Gables,FL
26.142036,-81.794807,Naples,FL
30.332184,-81.655647,Jacksonville,FL
25.956482,-80.139214,Aventura,FL
25.761681,-80.191788,Miami,FL
33.748997,-84.387985,Atlanta,GA
21.306944,-157.858337,Honolulu,HI
20.69174,-156.441193,Wailea,HI
19.93351,-155.788162,Waikoloa,HI
41.878113,-87.629799,Chicago,IL
42.02631,-87.754692,Skokie,IL
41.85003,-87.964508,Oakbrook,IL
42.127525,-87.828957,Northbrook,IL
39.768402,-86.158066,Indianapolis,IN
29.951065,-90.071533,New Orleans,LA
38.969276,-77.078865,Chevy Chase,MD
39.401859,-76.605049,Towson,MD
42.360081,-71.058884,Boston,MA
42.283772,-71.34729,Natick,MA
42.317219,-71.163101,Chesnut Hill,MA
42.606407,-83.149773,Troy,MI
44.889687,-93.349953,Edina,MN
38.627003,-90.199402,St. Louis,MO
39.099728,-94.578568,Kansas City,MO
36.169941,-115.139832,Las Vegas,NV
40.88134,-74.0438,Hackensack,NJ
40.7256,-74.32592,Short Hills,NJ
40.347054,-74.064308,Red Bank,NJ
40.951908,-74.075272,Paramus,NJ
40.796822,-73.699417,Manhasset,NY
40.712776,-74.005974,New York City,NY
41.03273,-73.766327,White Plains,NY
35.227085,-80.843124,Charlotte,NC
39.961178,-82.998795,Columbus,OH
41.46234,-81.48063,Woodmere,OH
40.658039,-80.581596,Cincinatti,OH
45.51223,-122.658722,Portland,OR
39.951061,-75.165619,Philadelphia,PA
40.088322,-75.382133,King of Prussia,PA
40.40589,-79.83971,Pittsburgh,PA
41.82399,-71.412834,Providence,RI
36.162663,-86.781601,Nashville,TN
32.776665,-96.796989,Dallas,TX
29.760427,-95.369804,Houston,TX
29.424122,-98.493629,San Antonio,TX
30.267153,-97.743057,Austin,TX
30.182039,-95.484612,The Woodlands,TX
32.755489,-97.330765,Fort Worth,TX
40.76078,-111.891045,Salt Lake City,UT
38.901222,-77.265259,Vienna,VA
37.540726,-77.43605,Richmond,VA
47.606209,-122.332069,Seattle,WA
47.610149,-122.201515,Bellevue,WA
